year,geo,Traveller_characteristics,value
2000,Fraser,Residents of countries other than the United States of America entering Canada,12226
2000,Old Crow,United States of America residents entering Canada,47
2000,Little Gold Creek,Canadian-resident visitors returning to Canada,3750
2000,Fraser,United States of America residents entering Canada,122524
2000,Old Crow,Canadian-resident visitors returning to Canada,46
2000,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3428
2000,Whitehorse,United States of America residents entering Canada,4069
2000,Little Gold Creek,Residents of countries other than the United States of America entering Canada,8010
2000,Old Crow,Residents of countries other than the United States of America entering Canada,0
2000,Pleasant Camp,Canadian-resident visitors returning to Canada,8343
2000,Pleasant Camp,United States of America residents entering Canada,29734
2000,Whitehorse,Canadian-resident visitors returning to Canada,1148
2000,Whitehorse,Residents of countries other than the United States of America entering Canada,4791
2007,Beaver Creek,Canadian-resident visitors returning to Canada,12540
2007,Beaver Creek,United States of America residents entering Canada,74885
2007,Beaver Creek,Residents of countries other than the United States of America entering Canada,5534
2007,Dawson,Canadian-resident visitors returning to Canada,1189
2007,Dawson,Residents of countries other than the United States of America entering Canada,923
2007,Fraser,United States of America residents entering Canada,209817
2007,Little Gold Creek,United States of America residents entering Canada,9212
2007,Dawson,United States of America residents entering Canada,6681
2007,Old Crow,United States of America residents entering Canada,22
2007,Little Gold Creek,Canadian-resident visitors returning to Canada,2902
2007,Pleasant Camp,United States of America residents entering Canada,23683
2007,Fraser,Canadian-resident visitors returning to Canada,35269
2007,Whitehorse,Canadian-resident visitors returning to Canada,972
2007,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3848
2007,Fraser,Residents of countries other than the United States of America entering Canada,17409
2007,Old Crow,Canadian-resident visitors returning to Canada,0
2007,Old Crow,Residents of countries other than the United States of America entering Canada,1
2007,Whitehorse,United States of America residents entering Canada,992
2007,Pleasant Camp,Canadian-resident visitors returning to Canada,9926
2007,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2994
2007,Whitehorse,Residents of countries other than the United States of America entering Canada,4275
2009,Dawson,Residents of countries other than the United States of America entering Canada,397
2009,Beaver Creek,United States of America residents entering Canada,58344
2009,Beaver Creek,Canadian-resident visitors returning to Canada,10052
2009,Dawson,Canadian-resident visitors returning to Canada,535
2009,Beaver Creek,Residents of countries other than the United States of America entering Canada,4484
2009,Dawson,United States of America residents entering Canada,2822
2009,Little Gold Creek,United States of America residents entering Canada,6435
2009,Fraser,Canadian-resident visitors returning to Canada,42544
2009,Old Crow,United States of America residents entering Canada,28
2009,Fraser,Residents of countries other than the United States of America entering Canada,16387
2009,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2722
2009,Fraser,United States of America residents entering Canada,175043
2009,Little Gold Creek,Canadian-resident visitors returning to Canada,2878
2009,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3805
2009,Old Crow,Canadian-resident visitors returning to Canada,13
2009,Old Crow,Residents of countries other than the United States of America entering Canada,0
2009,Whitehorse,Residents of countries other than the United States of America entering Canada,4303
2009,Pleasant Camp,Canadian-resident visitors returning to Canada,8952
2009,Pleasant Camp,United States of America residents entering Canada,17072
2009,Whitehorse,Canadian-resident visitors returning to Canada,763
2009,Whitehorse,United States of America residents entering Canada,769
2014,Beaver Creek,Canadian-resident visitors returning to Canada,8846
2014,Dawson,Residents of countries other than the United States of America entering Canada,482
2014,Dawson,Canadian-resident visitors returning to Canada,1188
2014,Dawson,United States of America residents entering Canada,5340
2014,Beaver Creek,Residents of countries other than the United States of America entering Canada,4211
2014,Fraser,Canadian-resident visitors returning to Canada,53423
2014,Fraser,United States of America residents entering Canada,211003
2014,Fraser,Residents of countries other than the United States of America entering Canada,29941
2014,Beaver Creek,United States of America residents entering Canada,51890
2014,Pleasant Camp,United States of America residents entering Canada,15981
2014,Little Gold Creek,Canadian-resident visitors returning to Canada,2577
2014,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2834
2014,Little Gold Creek,United States of America residents entering Canada,5703
2014,Whitehorse,Canadian-resident visitors returning to Canada,1243
2014,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4328
2014,Whitehorse,Residents of countries other than the United States of America entering Canada,3436
2014,Old Crow,United States of America residents entering Canada,15
2014,Old Crow,Canadian-resident visitors returning to Canada,3
2014,Old Crow,Residents of countries other than the United States of America entering Canada,0
2014,Pleasant Camp,Canadian-resident visitors returning to Canada,10946
2014,Whitehorse,United States of America residents entering Canada,496
2016,Beaver Creek,Residents of countries other than the United States of America entering Canada,4192
2016,Beaver Creek,Canadian-resident visitors returning to Canada,9127
2016,Dawson,Canadian-resident visitors returning to Canada,993
2016,Beaver Creek,United States of America residents entering Canada,58971
2016,Dawson,Residents of countries other than the United States of America entering Canada,411
2016,Dawson,United States of America residents entering Canada,5190
2016,Fraser,Canadian-resident visitors returning to Canada,45833
2016,Little Gold Creek,Canadian-resident visitors returning to Canada,3088
2016,Little Gold Creek,United States of America residents entering Canada,6951
2016,Old Crow,Canadian-resident visitors returning to Canada,2
2016,Fraser,Residents of countries other than the United States of America entering Canada,27504
2016,Whitehorse,United States of America residents entering Canada,477
2016,Old Crow,United States of America residents entering Canada,4
2016,Fraser,United States of America residents entering Canada,209115
2016,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4850
2016,Old Crow,Residents of countries other than the United States of America entering Canada,0
2016,Pleasant Camp,Canadian-resident visitors returning to Canada,13525
2016,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3720
2016,Pleasant Camp,United States of America residents entering Canada,20968
2016,Whitehorse,Canadian-resident visitors returning to Canada,937
2016,Whitehorse,Residents of countries other than the United States of America entering Canada,3386
2018,Dawson,Residents of countries other than the United States of America entering Canada,712
2018,Beaver Creek,Canadian-resident visitors returning to Canada,12029
2018,Beaver Creek,United States of America residents entering Canada,69733
2018,Dawson,Canadian-resident visitors returning to Canada,1030
2018,Dawson,United States of America residents entering Canada,5472
2018,Beaver Creek,Residents of countries other than the United States of America entering Canada,5017
2018,Fraser,Residents of countries other than the United States of America entering Canada,34566
2018,Fraser,Canadian-resident visitors returning to Canada,54093
2018,Whitehorse,Residents of countries other than the United States of America entering Canada,3406
2018,Little Gold Creek,United States of America residents entering Canada,7044
2018,Fraser,United States of America residents entering Canada,262761
2018,Old Crow,United States of America residents entering Canada,10
2018,Little Gold Creek,Canadian-resident visitors returning to Canada,3447
2018,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2373
2018,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4728
2018,Old Crow,Canadian-resident visitors returning to Canada,0
2018,Old Crow,Residents of countries other than the United States of America entering Canada,0
2018,Pleasant Camp,Canadian-resident visitors returning to Canada,14504
2018,Pleasant Camp,United States of America residents entering Canada,19641
2018,Whitehorse,Canadian-resident visitors returning to Canada,608
2018,Whitehorse,United States of America residents entering Canada,614
2023,Beaver Creek,Canadian-resident visitors returning to Canada,9206
2023,Beaver Creek,United States of America residents entering Canada,54513
2023,Dawson,Residents of countries other than the United States of America entering Canada,469
2023,Dawson,Canadian-resident visitors returning to Canada,719
2023,Beaver Creek,Residents of countries other than the United States of America entering Canada,3185
2023,Fraser,United States of America residents entering Canada,233494
2023,Old Crow,United States of America residents entering Canada,19
2023,Dawson,United States of America residents entering Canada,4896
2023,Little Gold Creek,United States of America residents entering Canada,5381
2023,Little Gold Creek,Canadian-resident visitors returning to Canada,2498
2023,Pleasant Camp,United States of America residents entering Canada,17641
2023,Fraser,Canadian-resident visitors returning to Canada,63230
2023,Whitehorse,Canadian-resident visitors returning to Canada,869
2023,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2183
2023,Fraser,Residents of countries other than the United States of America entering Canada,37772
2023,Old Crow,Canadian-resident visitors returning to Canada,0
2023,Pleasant Camp,Canadian-resident visitors returning to Canada,12820
2023,Old Crow,Residents of countries other than the United States of America entering Canada,0
2023,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2332
2023,Whitehorse,United States of America residents entering Canada,583
2023,Whitehorse,Residents of countries other than the United States of America entering Canada,2213
