year,geo,Traveller_characteristics,value
1981,Little Gold Creek,Canadian-resident visitors returning to Canada,3973
1981,Whitehorse,Canadian-resident visitors returning to Canada,1293
1981,Whitehorse,Residents of countries other than the United States of America entering Canada,514
1981,Little Gold Creek,Residents of countries other than the United States of America entering Canada,1459
1981,Old Crow,Canadian-resident visitors returning to Canada,85
1981,Old Crow,Residents of countries other than the United States of America entering Canada,0
1981,Pleasant Camp,Canadian-resident visitors returning to Canada,9967
1981,Whitehorse,United States of America residents entering Canada,6982
1983,Beaver Creek,Canadian-resident visitors returning to Canada,9268
1983,Dawson,Canadian-resident visitors returning to Canada,98
1983,Beaver Creek,Residents of countries other than the United States of America entering Canada,2630
1983,Beaver Creek,United States of America residents entering Canada,89673
1983,Dawson,Residents of countries other than the United States of America entering Canada,1
1983,Fraser,Canadian-resident visitors returning to Canada,21811
1983,Little Gold Creek,United States of America residents entering Canada,9542
1983,Dawson,United States of America residents entering Canada,370
1983,Old Crow,United States of America residents entering Canada,108
1983,Fraser,United States of America residents entering Canada,45629
1983,Pleasant Camp,Residents of countries other than the United States of America entering Canada,557
1983,Fraser,Residents of countries other than the United States of America entering Canada,2279
1983,Little Gold Creek,Residents of countries other than the United States of America entering Canada,960
1983,Little Gold Creek,Canadian-resident visitors returning to Canada,3187
1983,Old Crow,Residents of countries other than the United States of America entering Canada,0
1983,Old Crow,Canadian-resident visitors returning to Canada,120
1983,Pleasant Camp,Canadian-resident visitors returning to Canada,7144
1983,Whitehorse,United States of America residents entering Canada,5555
1983,Pleasant Camp,United States of America residents entering Canada,25171
1983,Whitehorse,Canadian-resident visitors returning to Canada,1224
1983,Whitehorse,Residents of countries other than the United States of America entering Canada,192
1990,Beaver Creek,Canadian-resident visitors returning to Canada,13724
1990,Beaver Creek,Residents of countries other than the United States of America entering Canada,4724
1990,Beaver Creek,United States of America residents entering Canada,98269
1990,Dawson,Canadian-resident visitors returning to Canada,853
1990,Fraser,United States of America residents entering Canada,49843
1990,Dawson,Residents of countries other than the United States of America entering Canada,440
1988,Fraser,United States of America residents entering Canada,50228
1988,Fraser,Residents of countries other than the United States of America entering Canada,4562
1988,Beaver Creek,United States of America residents entering Canada,105660
1988,Pleasant Camp,United States of America residents entering Canada,26802
1988,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2250
1988,Pleasant Camp,Residents of countries other than the United States of America entering Canada,1019
1988,Little Gold Creek,Canadian-resident visitors returning to Canada,4295
1988,Whitehorse,Canadian-resident visitors returning to Canada,1483
1988,Old Crow,Residents of countries other than the United States of America entering Canada,0
1988,Whitehorse,Residents of countries other than the United States of America entering Canada,92
1988,Little Gold Creek,United States of America residents entering Canada,14847
1988,Pleasant Camp,Canadian-resident visitors returning to Canada,8504
1988,Old Crow,Canadian-resident visitors returning to Canada,134
1988,Whitehorse,United States of America residents entering Canada,3093
1988,Old Crow,United States of America residents entering Canada,185
2002,Dawson,Residents of countries other than the United States of America entering Canada,438
2002,Beaver Creek,Canadian-resident visitors returning to Canada,12908
2002,Dawson,United States of America residents entering Canada,6055
2002,Beaver Creek,United States of America residents entering Canada,90839
2002,Fraser,Canadian-resident visitors returning to Canada,36010
2002,Beaver Creek,Residents of countries other than the United States of America entering Canada,5345
2002,Fraser,Residents of countries other than the United States of America entering Canada,10018
2002,Fraser,United States of America residents entering Canada,131364
2002,Whitehorse,Residents of countries other than the United States of America entering Canada,3891
2002,Dawson,Canadian-resident visitors returning to Canada,1248
2002,Little Gold Creek,Canadian-resident visitors returning to Canada,3051
2002,Little Gold Creek,United States of America residents entering Canada,13408
2002,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3918
2002,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2844
2002,Old Crow,Canadian-resident visitors returning to Canada,28
2002,Old Crow,Residents of countries other than the United States of America entering Canada,4
2002,Old Crow,United States of America residents entering Canada,166
2002,Pleasant Camp,Canadian-resident visitors returning to Canada,10720
