year,geo,Traveller_type,value
1992,Pleasant Camp,Tourists (overnight),22024
1992,Little Gold Creek,Excursionists (same-day),998
1992,Little Gold Creek,Tourists (overnight),22988
1992,Old Crow,Excursionists (same-day),85
1992,Old Crow,Tourists (overnight),219
1992,Pleasant Camp,Excursionists (same-day),24034
1992,Whitehorse,Excursionists (same-day),566
1992,Whitehorse,Tourists (overnight),3623
1999,Fraser,Excursionists (same-day),71831
1999,Beaver Creek,Tourists (overnight),113202
1999,Little Gold Creek,Excursionists (same-day),2410
1999,Beaver Creek,Excursionists (same-day),7477
1999,Old Crow,Excursionists (same-day),52
1999,Dawson,Excursionists (same-day),1501
1999,Fraser,Tourists (overnight),106810
1999,Dawson,Tourists (overnight),6321
1999,Little Gold Creek,Tourists (overnight),22165
1999,Old Crow,Tourists (overnight),158
1999,Pleasant Camp,Excursionists (same-day),19814
1999,Pleasant Camp,Tourists (overnight),23336
1999,Whitehorse,Excursionists (same-day),1746
1999,Whitehorse,Tourists (overnight),5722
2001,Dawson,Excursionists (same-day),1579
2001,Beaver Creek,Tourists (overnight),103638
2001,Fraser,Tourists (overnight),99091
2001,Beaver Creek,Excursionists (same-day),6949
2001,Dawson,Tourists (overnight),7084
2001,Pleasant Camp,Excursionists (same-day),22015
2001,Whitehorse,Tourists (overnight),8047
2001,Little Gold Creek,Excursionists (same-day),1755
2001,Fraser,Excursionists (same-day),68537
2001,Pleasant Camp,Tourists (overnight),19107
2001,Little Gold Creek,Tourists (overnight),21211
2001,Old Crow,Excursionists (same-day),10
2001,Old Crow,Tourists (overnight),40
2001,Whitehorse,Excursionists (same-day),1832
2006,Beaver Creek,Excursionists (same-day),7789
2006,Fraser,Excursionists (same-day),141501
2006,Beaver Creek,Tourists (overnight),83837
2006,Fraser,Tourists (overnight),102229
2006,Dawson,Excursionists (same-day),1717
2006,Little Gold Creek,Excursionists (same-day),831
2006,Dawson,Tourists (overnight),6839
2006,Pleasant Camp,Excursionists (same-day),20385
2006,Little Gold Creek,Tourists (overnight),13410
2006,Pleasant Camp,Tourists (overnight),17773
