year,geo,Traveller_type,value
2003,Little Gold Creek,Excursionists (same-day),728
2003,Fraser,Excursionists (same-day),93920
2003,Pleasant Camp,Tourists (overnight),20255
2003,Old Crow,Excursionists (same-day),14
2004,Beaver Creek,Excursionists (same-day),9050
2004,Little Gold Creek,Excursionists (same-day),686
2004,Beaver Creek,Tourists (overnight),92618
2004,Dawson,Excursionists (same-day),1019
2004,Dawson,Tourists (overnight),5688
2004,Little Gold Creek,Tourists (overnight),13356
2004,Whitehorse,Excursionists (same-day),308
2004,Fraser,Excursionists (same-day),115898
2004,Whitehorse,Tourists (overnight),6871
2004,Old Crow,Excursionists (same-day),6
2004,Fraser,Tourists (overnight),94218
2004,Old Crow,Tourists (overnight),17
2004,Pleasant Camp,Tourists (overnight),21969
2004,Pleasant Camp,Excursionists (same-day),21015
2005,Fraser,Tourists (overnight),103076
2005,Beaver Creek,Tourists (overnight),87981
2005,Beaver Creek,Excursionists (same-day),7457
2005,Fraser,Excursionists (same-day),124671
2005,Pleasant Camp,Excursionists (same-day),20375
2005,Little Gold Creek,Excursionists (same-day),702
2005,Dawson,Excursionists (same-day),1309
2005,Little Gold Creek,Tourists (overnight),14081
2005,Pleasant Camp,Tourists (overnight),22305
2005,Old Crow,Excursionists (same-day),20
2005,Dawson,Tourists (overnight),6600
2005,Old Crow,Tourists (overnight),14
2005,Whitehorse,Tourists (overnight),6495
2005,Whitehorse,Excursionists (same-day),334
2019,Beaver Creek,Excursionists (same-day),7831
2019,Dawson,Excursionists (same-day),161
2019,Old Crow,Tourists (overnight),0
2019,Fraser,Tourists (overnight),47427
2019,Beaver Creek,Tourists (overnight),71813
2019,Dawson,Tourists (overnight),6567
2019,Pleasant Camp,Excursionists (same-day),12665
2019,Whitehorse,Excursionists (same-day),420
2019,Little Gold Creek,Excursionists (same-day),940
2019,Fraser,Excursionists (same-day),315081
2019,Pleasant Camp,Tourists (overnight),25476
2019,Whitehorse,Tourists (overnight),4392
2019,Little Gold Creek,Tourists (overnight),12253
2019,Old Crow,Excursionists (same-day),1
2020,Beaver Creek,Tourists (overnight),20694
2020,Little Gold Creek,Tourists (overnight),0
2020,Beaver Creek,Excursionists (same-day),2020
2020,Dawson,Excursionists (same-day),2
2020,Little Gold Creek,Excursionists (same-day),0
2020,Old Crow,Excursionists (same-day),0
2020,Fraser,Tourists (overnight),1340
2020,Dawson,Tourists (overnight),27
2020,Whitehorse,Excursionists (same-day),181
2020,Old Crow,Tourists (overnight),0
2020,Whitehorse,Tourists (overnight),140
2020,Fraser,Excursionists (same-day),2614
2020,Pleasant Camp,Excursionists (same-day),2182
2020,Pleasant Camp,Tourists (overnight),1355
2021,Dawson,Excursionists (same-day),0
2021,Beaver Creek,Tourists (overnight),24034
2012,Beaver Creek,Tourists (overnight),59738
2012,Dawson,Excursionists (same-day),56
2012,Dawson,Tourists (overnight),283
2012,Old Crow,Excursionists (same-day),9
2012,Little Gold Creek,Excursionists (same-day),324
2012,Fraser,Excursionists (same-day),198292
2012,Whitehorse,Excursionists (same-day),233
2012,Old Crow,Tourists (overnight),0
2012,Whitehorse,Tourists (overnight),4920
2012,Fraser,Tourists (overnight),88159
2012,Pleasant Camp,Excursionists (same-day),12260
2012,Pleasant Camp,Tourists (overnight),14409
2013,Fraser,Tourists (overnight),96525
2013,Fraser,Excursionists (same-day),220312
2013,Beaver Creek,Excursionists (same-day),6464
2013,Beaver Creek,Tourists (overnight),61424
2013,Pleasant Camp,Tourists (overnight),15468
2013,Little Gold Creek,Excursionists (same-day),798
2013,Dawson,Excursionists (same-day),29
2013,Little Gold Creek,Tourists (overnight),18422
2013,Whitehorse,Tourists (overnight),4591
2013,Old Crow,Excursionists (same-day),1
2013,Dawson,Tourists (overnight),197
2013,Old Crow,Tourists (overnight),21
2013,Whitehorse,Excursionists (same-day),176
2013,Pleasant Camp,Excursionists (same-day),10674
2021,Beaver Creek,Excursionists (same-day),1465
2021,Little Gold Creek,Excursionists (same-day),0
2021,Fraser,Excursionists (same-day),1605
2021,Little Gold Creek,Tourists (overnight),0
2021,Dawson,Tourists (overnight),0
2021,Old Crow,Excursionists (same-day),0
2021,Fraser,Tourists (overnight),1594
2021,Old Crow,Tourists (overnight),0
2021,Whitehorse,Excursionists (same-day),153
2021,Pleasant Camp,Excursionists (same-day),2844
2021,Pleasant Camp,Tourists (overnight),1248
2021,Whitehorse,Tourists (overnight),159
2022,Fraser,Tourists (overnight),25330
2022,Beaver Creek,Tourists (overnight),48854
2022,Fraser,Excursionists (same-day),52037
2022,Beaver Creek,Excursionists (same-day),4465
2022,Pleasant Camp,Excursionists (same-day),7478
2022,Dawson,Excursionists (same-day),39
2022,Little Gold Creek,Excursionists (same-day),6803
2022,Dawson,Tourists (overnight),4189
2022,Pleasant Camp,Tourists (overnight),16641
2022,Whitehorse,Excursionists (same-day),427
2022,Little Gold Creek,Tourists (overnight),1512
2022,Whitehorse,Tourists (overnight),3137
2022,Old Crow,Excursionists (same-day),0
2022,Old Crow,Tourists (overnight),1
