"ref_date","year","month","site","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"1987-02-01",1987,2,SS Klondike,0,0,,0,0,,January - February
"1987-03-01",1987,3,SS Klondike,0,0,,0,0,,January - March
"1987-04-01",1987,4,SS Klondike,0,0,,0,0,,January - April
"1987-05-01",1987,5,SS Klondike,1514,1308,15.7,1514,1308,15.7,January - May
"1987-06-01",1987,6,SS Klondike,11702,10693,9.4,13216,12001,10.1,January - June
"1987-07-01",1987,7,SS Klondike,16909,16280,3.9,30125,28281,6.5,January - July
"1987-08-01",1987,8,SS Klondike,10708,9859,8.6,40833,38140,7.1,January - August
"1987-09-01",1987,9,SS Klondike,1691,2172,-22.1,42524,40312,5.5,January - September
"1987-10-01",1987,10,SS Klondike,0,0,,42524,40312,5.5,January - October
"1987-11-01",1987,11,SS Klondike,0,0,,42524,40312,5.5,January - November
"1987-12-01",1987,12,SS Klondike,0,0,,42524,40312,5.5,January - December
"1988-01-01",1988,1,All,287,128,124.2,287,128,124.2,January - January
"1988-02-01",1988,2,All,353,146,141.8,640,274,133.6,January - February
"1988-03-01",1988,3,All,396,283,39.9,1036,557,86.0,January - March
"1988-04-01",1988,4,All,990,532,86.1,2026,1089,86.0,January - April
"1988-05-01",1988,5,All,5908,4742,24.6,7934,5831,36.1,January - May
"1988-06-01",1988,6,All,38182,28942,31.9,46116,34773,32.6,January - June
"1988-07-01",1988,7,All,58323,42602,36.9,104439,77375,35.0,January - July
"1988-08-01",1988,8,All,45484,36425,24.9,149923,113800,31.7,January - August
"1988-09-01",1988,9,All,10647,10900,-2.3,160570,124700,28.8,January - September
"1988-10-01",1988,10,All,601,608,-1.2,161171,125308,28.6,January - October
"1988-11-01",1988,11,All,226,541,-58.2,161397,125849,28.2,January - November
"1988-12-01",1988,12,All,204,184,10.9,161601,126033,28.2,January - December
"1988-01-01",1988,1,Chilkoot Trail,0,0,,0,0,,January - January
"1988-02-01",1988,2,Chilkoot Trail,0,0,,0,0,,January - February
"1988-03-01",1988,3,Chilkoot Trail,0,0,,0,0,,January - March
"1988-04-01",1988,4,Chilkoot Trail,0,0,,0,0,,January - April
"1988-05-01",1988,5,Chilkoot Trail,4,4,0.0,4,4,0.0,January - May
"1988-06-01",1988,6,Chilkoot Trail,132,141,-6.4,136,145,-6.2,January - June
"1988-07-01",1988,7,Chilkoot Trail,810,644,25.8,946,789,19.9,January - July
"1988-08-01",1988,8,Chilkoot Trail,614,785,-21.8,1560,1574,-0.9,January - August
"1988-09-01",1988,9,Chilkoot Trail,116,131,-11.5,1676,1705,-1.7,January - September
"1988-10-01",1988,10,Chilkoot Trail,0,0,,1676,1705,-1.7,January - October
"1988-11-01",1988,11,Chilkoot Trail,0,0,,1676,1705,-1.7,January - November
"1988-12-01",1988,12,Chilkoot Trail,0,0,,1676,1705,-1.7,January - December
"1988-04-01",1988,4,Klondike National Historic Site,0,,,0,0,,April - April
"1988-05-01",1988,5,Klondike National Historic Site,374,,,374,0,,April - May
"1988-06-01",1988,6,Klondike National Historic Site,9530,,,9904,0,,April - June
"1988-07-01",1988,7,Klondike National Historic Site,16152,,,26056,0,,April - July
"1988-08-01",1988,8,Klondike National Historic Site,10381,,,36437,0,,April - August
"1988-09-01",1988,9,Klondike National Historic Site,1777,,,38214,0,,April - September
"1988-10-01",1988,10,Klondike National Historic Site,0,,,38214,0,,April - October
"1988-11-01",1988,11,Klondike National Historic Site,0,,,38214,0,,April - November
"1988-12-01",1988,12,Klondike National Historic Site,0,,,38214,0,,April - December
"1988-01-01",1988,1,Kluane National Park,287,128,124.2,287,128,124.2,January - January
"1988-02-01",1988,2,Kluane National Park,353,146,141.8,640,274,133.6,January - February
"1988-03-01",1988,3,Kluane National Park,396,283,39.9,1036,557,86.0,January - March
"1988-04-01",1988,4,Kluane National Park,990,532,86.1,2026,1089,86.0,January - April
"1988-05-01",1988,5,Kluane National Park,3953,3224,22.6,5979,4313,38.6,January - May
"1988-06-01",1988,6,Kluane National Park,16746,17099,-2.1,22725,21412,6.1,January - June
"1988-07-01",1988,7,Kluane National Park,25532,25049,1.9,48257,46461,3.9,January - July
"1988-08-01",1988,8,Kluane National Park,24133,24932,-3.2,72390,71393,1.4,January - August
"1988-09-01",1988,9,Kluane National Park,7100,9078,-21.8,79490,80471,-1.2,January - September
"1988-10-01",1988,10,Kluane National Park,601,608,-1.2,80091,81079,-1.2,January - October
"1988-11-01",1988,11,Kluane National Park,226,541,-58.2,80317,81620,-1.6,January - November
"1988-12-01",1988,12,Kluane National Park,204,184,10.9,80521,81804,-1.6,January - December
"1988-01-01",1988,1,SS Klondike,0,0,,0,0,,January - January
"1988-02-01",1988,2,SS Klondike,0,0,,0,0,,January - February
"1988-03-01",1988,3,SS Klondike,0,0,,0,0,,January - March
"1988-04-01",1988,4,SS Klondike,0,0,,0,0,,January - April
"1988-05-01",1988,5,SS Klondike,1577,1514,4.2,1577,1514,4.2,January - May
"1988-06-01",1988,6,SS Klondike,11774,11702,0.6,13351,13216,1.0,January - June
"1988-07-01",1988,7,SS Klondike,15829,16909,-6.4,29180,30125,-3.1,January - July
"1988-08-01",1988,8,SS Klondike,10356,10708,-3.3,39536,40833,-3.2,January - August
"1988-09-01",1988,9,SS Klondike,1654,1691,-2.2,41190,42524,-3.1,January - September
"1988-10-01",1988,10,SS Klondike,0,0,,41190,42524,-3.1,January - October
"1988-11-01",1988,11,SS Klondike,0,0,,41190,42524,-3.1,January - November
"1988-12-01",1988,12,SS Klondike,0,0,,41190,42524,-3.1,January - December
"1989-01-01",1989,1,All,107,287,-62.7,107,287,-62.7,January - January
"1989-02-01",1989,2,All,106,353,-70.0,213,640,-66.7,January - February
"1989-03-01",1989,3,All,403,396,1.8,616,1036,-40.5,January - March
"1989-04-01",1989,4,All,596,990,-39.8,1212,2026,-40.2,January - April
"1989-05-01",1989,5,All,5791,5908,-2.0,7003,7934,-11.7,January - May
"1989-06-01",1989,6,All,36949,38182,-3.2,43952,46116,-4.7,January - June
"1989-07-01",1989,7,All,57972,58323,-0.6,101924,104439,-2.4,January - July
"1989-08-01",1989,8,All,41659,45484,-8.4,143583,149923,-4.2,January - August
"1989-09-01",1989,9,All,8938,10647,-16.1,152521,160570,-5.0,January - September
"1989-10-01",1989,10,All,460,601,-23.5,152981,161171,-5.1,January - October
"1989-11-01",1989,11,All,76,226,-66.4,153057,161397,-5.2,January - November
"1989-12-01",1989,12,All,25,204,-87.7,153082,161601,-5.3,January - December
"1989-01-01",1989,1,Chilkoot Trail,0,0,,0,0,,January - January
"1989-02-01",1989,2,Chilkoot Trail,0,0,,0,0,,January - February
"1989-03-01",1989,3,Chilkoot Trail,0,0,,0,0,,January - March
"1989-04-01",1989,4,Chilkoot Trail,0,0,,0,0,,January - April
"1989-05-01",1989,5,Chilkoot Trail,0,4,-100.0,0,4,-100.0,January - May
"1989-06-01",1989,6,Chilkoot Trail,156,132,18.2,156,136,14.7,January - June
"1989-07-01",1989,7,Chilkoot Trail,851,810,5.1,1007,946,6.4,January - July
"1989-08-01",1989,8,Chilkoot Trail,761,614,23.9,1768,1560,13.3,January - August
"1989-09-01",1989,9,Chilkoot Trail,311,116,168.1,2079,1676,24.0,January - September
"1989-10-01",1989,10,Chilkoot Trail,0,0,,2079,1676,24.0,January - October
"1989-11-01",1989,11,Chilkoot Trail,0,0,,2079,1676,24.0,January - November
"1989-12-01",1989,12,Chilkoot Trail,0,0,,2079,1676,24.0,January - December
"1989-01-01",1989,1,Klondike National Historic Site,0,,,0,0,,January - January
"1989-02-01",1989,2,Klondike National Historic Site,0,,,0,0,,January - February
"1989-03-01",1989,3,Klondike National Historic Site,0,,,0,0,,January - March
"1989-04-01",1989,4,Klondike National Historic Site,0,0,,0,0,,January - April
"1989-05-01",1989,5,Klondike National Historic Site,382,374,2.1,382,374,2.1,January - May
"1989-06-01",1989,6,Klondike National Historic Site,10760,9530,12.9,11142,9904,12.5,January - June
"1989-07-01",1989,7,Klondike National Historic Site,17155,16152,6.2,28297,26056,8.6,January - July
"1989-08-01",1989,8,Klondike National Historic Site,11442,10381,10.2,39739,36437,9.1,January - August
"1989-09-01",1989,9,Klondike National Historic Site,1595,1777,-10.2,41334,38214,8.2,January - September
"1989-10-01",1989,10,Klondike National Historic Site,0,0,,41334,38214,8.2,January - October
"1989-11-01",1989,11,Klondike National Historic Site,0,0,,41334,38214,8.2,January - November
"1989-12-01",1989,12,Klondike National Historic Site,0,0,,41334,38214,8.2,January - December
"1989-01-01",1989,1,Kluane National Park,107,287,-62.7,107,287,-62.7,January - January
"1989-02-01",1989,2,Kluane National Park,106,353,-70.0,213,640,-66.7,January - February
"1989-03-01",1989,3,Kluane National Park,403,396,1.8,616,1036,-40.5,January - March
"1989-04-01",1989,4,Kluane National Park,596,990,-39.8,1212,2026,-40.2,January - April
"1989-05-01",1989,5,Kluane National Park,3304,3953,-16.4,4516,5979,-24.5,January - May
"1989-06-01",1989,6,Kluane National Park,15047,16746,-10.1,19563,22725,-13.9,January - June
"1989-07-01",1989,7,Kluane National Park,23920,25532,-6.3,43483,48257,-9.9,January - July
"1989-08-01",1989,8,Kluane National Park,19546,24133,-19.0,63029,72390,-12.9,January - August
"1989-09-01",1989,9,Kluane National Park,5432,7100,-23.5,68461,79490,-13.9,January - September
"1989-10-01",1989,10,Kluane National Park,460,601,-23.5,68921,80091,-13.9,January - October
"1989-11-01",1989,11,Kluane National Park,76,226,-66.4,68997,80317,-14.1,January - November
"1989-12-01",1989,12,Kluane National Park,25,204,-87.7,69022,80521,-14.3,January - December
"1989-01-01",1989,1,SS Klondike,0,0,,0,0,,January - January
"1989-02-01",1989,2,SS Klondike,0,0,,0,0,,January - February
"1989-03-01",1989,3,SS Klondike,0,0,,0,0,,January - March
"1989-04-01",1989,4,SS Klondike,0,0,,0,0,,January - April
"1989-05-01",1989,5,SS Klondike,2105,1577,33.5,2105,1577,33.5,January - May
"1989-06-01",1989,6,SS Klondike,10986,11774,-6.7,13091,13351,-1.9,January - June
"1989-07-01",1989,7,SS Klondike,16046,15829,1.4,29137,29180,-0.1,January - July
"1989-08-01",1989,8,SS Klondike,9910,10356,-4.3,39047,39536,-1.2,January - August
"1989-09-01",1989,9,SS Klondike,1600,1654,-3.3,40647,41190,-1.3,January - September
"1989-10-01",1989,10,SS Klondike,0,0,,40647,41190,-1.3,January - October
"1989-11-01",1989,11,SS Klondike,0,0,,40647,41190,-1.3,January - November
"1989-12-01",1989,12,SS Klondike,0,0,,40647,41190,-1.3,January - December
"1990-01-01",1990,1,All,64,107,-40.2,64,107,-40.2,January - January
"1990-02-01",1990,2,All,78,106,-26.4,142,213,-33.3,January - February
"1990-03-01",1990,3,All,348,403,-13.6,490,616,-20.5,January - March
"1990-04-01",1990,4,All,594,596,-0.3,1084,1212,-10.6,January - April
"1990-05-01",1990,5,All,7372,5791,27.3,8456,7003,20.7,January - May
"1990-06-01",1990,6,All,40051,36949,8.4,48507,43952,10.4,January - June
"1990-07-01",1990,7,All,60348,57972,4.1,108855,101924,6.8,January - July
"1990-08-01",1990,8,All,48436,41659,16.3,157291,143583,9.5,January - August
"1990-09-01",1990,9,All,9565,8938,7.0,166856,152521,9.4,January - September
"1990-10-01",1990,10,All,387,460,-15.9,167243,152981,9.3,January - October
"1990-11-01",1990,11,All,53,76,-30.3,167296,153057,9.3,January - November
"1990-12-01",1990,12,All,3,25,-88.0,167299,153082,9.3,January - December
"1990-01-01",1990,1,Chilkoot Trail,0,0,,0,0,,January - January
"1990-02-01",1990,2,Chilkoot Trail,0,0,,0,0,,January - February
"1990-03-01",1990,3,Chilkoot Trail,0,0,,0,0,,January - March
"1990-04-01",1990,4,Chilkoot Trail,0,0,,0,0,,January - April
"1990-05-01",1990,5,Chilkoot Trail,25,0,,25,0,,January - May
"1990-06-01",1990,6,Chilkoot Trail,276,156,76.9,301,156,92.9,January - June
"1990-07-01",1990,7,Chilkoot Trail,1040,851,22.2,1341,1007,33.2,January - July
"1990-08-01",1990,8,Chilkoot Trail,835,761,9.7,2176,1768,23.1,January - August
"1990-09-01",1990,9,Chilkoot Trail,182,311,-41.5,2358,2079,13.4,January - September
"1990-10-01",1990,10,Chilkoot Trail,0,0,,2358,2079,13.4,January - October
"1990-11-01",1990,11,Chilkoot Trail,0,0,,2358,2079,13.4,January - November
"1990-12-01",1990,12,Chilkoot Trail,0,0,,2358,2079,13.4,January - December
"1990-01-01",1990,1,Klondike National Historic Site,0,0,,0,0,,January - January
"1990-02-01",1990,2,Klondike National Historic Site,0,0,,0,0,,January - February
"1990-03-01",1990,3,Klondike National Historic Site,0,0,,0,0,,January - March
"1990-04-01",1990,4,Klondike National Historic Site,0,0,,0,0,,January - April
"1990-05-01",1990,5,Klondike National Historic Site,479,382,25.4,479,382,25.4,January - May
"1990-06-01",1990,6,Klondike National Historic Site,13690,10760,27.2,14169,11142,27.2,January - June
"1990-07-01",1990,7,Klondike National Historic Site,18299,17155,6.7,32468,28297,14.7,January - July
"1990-08-01",1990,8,Klondike National Historic Site,13856,11442,21.1,46324,39739,16.6,January - August
"1990-09-01",1990,9,Klondike National Historic Site,1847,1595,15.8,48171,41334,16.5,January - September
"1990-10-01",1990,10,Klondike National Historic Site,0,0,,48171,41334,16.5,January - October
"1990-11-01",1990,11,Klondike National Historic Site,0,0,,48171,41334,16.5,January - November
"1990-12-01",1990,12,Klondike National Historic Site,0,0,,48171,41334,16.5,January - December
"1990-01-01",1990,1,Kluane National Park,64,107,-40.2,64,107,-40.2,January - January
"1990-02-01",1990,2,Kluane National Park,78,106,-26.4,142,213,-33.3,January - February
"1990-03-01",1990,3,Kluane National Park,348,403,-13.6,490,616,-20.5,January - March
"1990-04-01",1990,4,Kluane National Park,594,596,-0.3,1084,1212,-10.6,January - April
"1990-05-01",1990,5,Kluane National Park,4518,3304,36.7,5602,4516,24.0,January - May
"1990-06-01",1990,6,Kluane National Park,14698,15047,-2.3,20300,19563,3.8,January - June
"1990-07-01",1990,7,Kluane National Park,24938,23920,4.3,45238,43483,4.0,January - July
"1990-08-01",1990,8,Kluane National Park,22672,19546,16.0,67910,63029,7.7,January - August
"1990-09-01",1990,9,Kluane National Park,6367,5432,17.2,74277,68461,8.5,January - September
"1990-10-01",1990,10,Kluane National Park,387,460,-15.9,74664,68921,8.3,January - October
"1990-11-01",1990,11,Kluane National Park,53,76,-30.3,74717,68997,8.3,January - November
"1990-12-01",1990,12,Kluane National Park,3,25,-88.0,74720,69022,8.3,January - December
"1990-01-01",1990,1,SS Klondike,0,0,,0,0,,January - January
"1990-02-01",1990,2,SS Klondike,0,0,,0,0,,January - February
"1990-03-01",1990,3,SS Klondike,0,0,,0,0,,January - March
"1990-04-01",1990,4,SS Klondike,0,0,,0,0,,January - April
"1990-05-01",1990,5,SS Klondike,2350,2105,11.6,2350,2105,11.6,January - May
"1990-06-01",1990,6,SS Klondike,11387,10986,3.7,13737,13091,4.9,January - June
"1990-07-01",1990,7,SS Klondike,16071,16046,0.2,29808,29137,2.3,January - July
"1990-08-01",1990,8,SS Klondike,11073,9910,11.7,40881,39047,4.7,January - August
"1990-09-01",1990,9,SS Klondike,1169,1600,-26.9,42050,40647,3.5,January - September
"1990-10-01",1990,10,SS Klondike,0,0,,42050,40647,3.5,January - October
"1990-11-01",1990,11,SS Klondike,0,0,,42050,40647,3.5,January - November
"1990-12-01",1990,12,SS Klondike,0,0,,42050,40647,3.5,January - December
"1991-01-01",1991,1,All,71,64,10.9,71,64,10.9,January - January
"1991-02-01",1991,2,All,138,78,76.9,209,142,47.2,January - February
"1991-03-01",1991,3,All,418,348,20.1,627,490,28.0,January - March
"1991-04-01",1991,4,All,385,594,-35.2,1012,1084,-6.6,January - April
"1991-05-01",1991,5,All,6489,7372,-12.0,7501,8456,-11.3,January - May
"1991-06-01",1991,6,All,37162,40051,-7.2,44663,48507,-7.9,January - June
"1991-07-01",1991,7,All,55512,60348,-8.0,100175,108855,-8.0,January - July
"1991-08-01",1991,8,All,42021,48436,-13.2,142196,157291,-9.6,January - August
"1991-09-01",1991,9,All,9430,9565,-1.4,151626,166856,-9.1,January - September
"1991-10-01",1991,10,All,73,387,-81.1,151699,167243,-9.3,January - October
"1991-11-01",1991,11,All,22,53,-58.5,151721,167296,-9.3,January - November
"1991-12-01",1991,12,All,32,3,966.7,151753,167299,-9.3,January - December
"1991-01-01",1991,1,Chilkoot Trail,0,0,,0,0,,January - January
"1991-02-01",1991,2,Chilkoot Trail,0,0,,0,0,,January - February
"1991-03-01",1991,3,Chilkoot Trail,0,0,,0,0,,January - March
"1991-04-01",1991,4,Chilkoot Trail,0,0,,0,0,,January - April
"1991-05-01",1991,5,Chilkoot Trail,21,25,-16.0,21,25,-16.0,January - May
"1991-06-01",1991,6,Chilkoot Trail,358,276,29.7,379,301,25.9,January - June
"1991-07-01",1991,7,Chilkoot Trail,953,1040,-8.4,1332,1341,-0.7,January - July
"1991-08-01",1991,8,Chilkoot Trail,833,835,-0.2,2165,2176,-0.5,January - August
"1991-09-01",1991,9,Chilkoot Trail,168,182,-7.7,2333,2358,-1.1,January - September
"1991-10-01",1991,10,Chilkoot Trail,0,0,,2333,2358,-1.1,January - October
"1991-11-01",1991,11,Chilkoot Trail,0,0,,2333,2358,-1.1,January - November
"1991-12-01",1991,12,Chilkoot Trail,0,0,,2333,2358,-1.1,January - December
"1991-01-01",1991,1,Klondike National Historic Site,0,0,,0,0,,January - January
"1991-02-01",1991,2,Klondike National Historic Site,0,0,,0,0,,January - February
"1991-03-01",1991,3,Klondike National Historic Site,0,0,,0,0,,January - March
"1991-04-01",1991,4,Klondike National Historic Site,0,0,,0,0,,January - April
"1991-05-01",1991,5,Klondike National Historic Site,638,479,33.2,638,479,33.2,January - May
"1991-06-01",1991,6,Klondike National Historic Site,10624,13690,-22.4,11262,14169,-20.5,January - June
"1991-07-01",1991,7,Klondike National Historic Site,14921,18299,-18.5,26183,32468,-19.4,January - July
"1991-08-01",1991,8,Klondike National Historic Site,11803,13856,-14.8,37986,46324,-18.0,January - August
"1991-09-01",1991,9,Klondike National Historic Site,2324,1847,25.8,40310,48171,-16.3,January - September
"1991-10-01",1991,10,Klondike National Historic Site,0,0,,40310,48171,-16.3,January - October
"1991-11-01",1991,11,Klondike National Historic Site,0,0,,40310,48171,-16.3,January - November
"1991-12-01",1991,12,Klondike National Historic Site,0,0,,40310,48171,-16.3,January - December
"1991-01-01",1991,1,Kluane National Park,71,64,10.9,71,64,10.9,January - January
"1991-02-01",1991,2,Kluane National Park,138,78,76.9,209,142,47.2,January - February
"1991-03-01",1991,3,Kluane National Park,418,348,20.1,627,490,28.0,January - March
"1991-04-01",1991,4,Kluane National Park,385,594,-35.2,1012,1084,-6.6,January - April
"1991-05-01",1991,5,Kluane National Park,3692,4518,-18.3,4704,5602,-16.0,January - May
"1991-06-01",1991,6,Kluane National Park,15166,14698,3.2,19870,20300,-2.1,January - June
"1991-07-01",1991,7,Kluane National Park,23187,24938,-7.0,43057,45238,-4.8,January - July
"1991-08-01",1991,8,Kluane National Park,18577,22672,-18.1,61634,67910,-9.2,January - August
"1991-09-01",1991,9,Kluane National Park,5651,6367,-11.2,67285,74277,-9.4,January - September
"1991-10-01",1991,10,Kluane National Park,73,387,-81.1,67358,74664,-9.8,January - October
"1991-11-01",1991,11,Kluane National Park,22,53,-58.5,67380,74717,-9.8,January - November
"1991-12-01",1991,12,Kluane National Park,32,3,966.7,67412,74720,-9.8,January - December
"1991-01-01",1991,1,SS Klondike,0,0,,0,0,,January - January
"1991-02-01",1991,2,SS Klondike,0,0,,0,0,,January - February
"1991-03-01",1991,3,SS Klondike,0,0,,0,0,,January - March
"1991-04-01",1991,4,SS Klondike,0,0,,0,0,,January - April
"1991-05-01",1991,5,SS Klondike,2138,2350,-9.0,2138,2350,-9.0,January - May
"1991-06-01",1991,6,SS Klondike,11014,11387,-3.3,13152,13737,-4.3,January - June
"1991-07-01",1991,7,SS Klondike,16451,16071,2.4,29603,29808,-0.7,January - July
"1991-08-01",1991,8,SS Klondike,10808,11073,-2.4,40411,40881,-1.1,January - August
"1991-09-01",1991,9,SS Klondike,1287,1169,10.1,41698,42050,-0.8,January - September
"1991-10-01",1991,10,SS Klondike,0,0,,41698,42050,-0.8,January - October
"1991-11-01",1991,11,SS Klondike,0,0,,41698,42050,-0.8,January - November
"1991-12-01",1991,12,SS Klondike,0,0,,41698,42050,-0.8,January - December
"1992-01-01",1992,1,All,171,71,140.8,171,71,140.8,January - January
"1992-02-01",1992,2,All,190,138,37.7,361,209,72.7,January - February
"1992-03-01",1992,3,All,284,418,-32.1,645,627,2.9,January - March
"1992-04-01",1992,4,All,541,385,40.5,1186,1012,17.2,January - April
"1992-05-01",1992,5,All,8301,6489,27.9,9487,7501,26.5,January - May
"1992-06-01",1992,6,All,46602,37162,25.4,56089,44663,25.6,January - June
"1992-07-01",1992,7,All,64116,55512,15.5,120205,100175,20.0,January - July
"1992-08-01",1992,8,All,50124,42021,19.3,170329,142196,19.8,January - August
"1992-09-01",1992,9,All,11062,9430,17.3,181391,151626,19.6,January - September
"1992-10-01",1992,10,All,418,73,472.6,181809,151699,19.8,January - October
"1992-11-01",1992,11,All,70,22,218.2,181879,151721,19.9,January - November
"1992-12-01",1992,12,All,104,32,225.0,181983,151753,19.9,January - December
"1992-01-01",1992,1,Chilkoot Trail,0,0,,0,0,,January - January
"1992-02-01",1992,2,Chilkoot Trail,0,0,,0,0,,January - February
"1992-03-01",1992,3,Chilkoot Trail,0,0,,0,0,,January - March
"1992-04-01",1992,4,Chilkoot Trail,0,0,,0,0,,January - April
"1992-05-01",1992,5,Chilkoot Trail,3,21,-85.7,3,21,-85.7,January - May
"1992-06-01",1992,6,Chilkoot Trail,391,358,9.2,394,379,4.0,January - June
"1992-07-01",1992,7,Chilkoot Trail,1068,953,12.1,1462,1332,9.8,January - July
"1992-08-01",1992,8,Chilkoot Trail,1071,833,28.6,2533,2165,17.0,January - August
"1992-09-01",1992,9,Chilkoot Trail,182,168,8.3,2715,2333,16.4,January - September
"1992-10-01",1992,10,Chilkoot Trail,0,0,,2715,2333,16.4,January - October
"1992-11-01",1992,11,Chilkoot Trail,0,0,,2715,2333,16.4,January - November
"1992-12-01",1992,12,Chilkoot Trail,0,0,,2715,2333,16.4,January - December
"1992-01-01",1992,1,Klondike National Historic Site,0,0,,0,0,,January - January
"1992-02-01",1992,2,Klondike National Historic Site,0,0,,0,0,,January - February
"1992-03-01",1992,3,Klondike National Historic Site,0,0,,0,0,,January - March
"1992-04-01",1992,4,Klondike National Historic Site,2,0,,2,0,,January - April
"1992-05-01",1992,5,Klondike National Historic Site,442,638,-30.7,444,638,-30.4,January - May
"1992-06-01",1992,6,Klondike National Historic Site,13954,10624,31.3,14398,11262,27.8,January - June
"1992-07-01",1992,7,Klondike National Historic Site,17349,14921,16.3,31747,26183,21.3,January - July
"1992-08-01",1992,8,Klondike National Historic Site,12987,11803,10.0,44734,37986,17.8,January - August
"1992-09-01",1992,9,Klondike National Historic Site,2387,2324,2.7,47121,40310,16.9,January - September
"1992-10-01",1992,10,Klondike National Historic Site,0,0,,47121,40310,16.9,January - October
"1992-11-01",1992,11,Klondike National Historic Site,0,0,,47121,40310,16.9,January - November
"1992-12-01",1992,12,Klondike National Historic Site,0,0,,47121,40310,16.9,January - December
"1992-01-01",1992,1,Kluane National Park,171,71,140.8,171,71,140.8,January - January
"1992-02-01",1992,2,Kluane National Park,190,138,37.7,361,209,72.7,January - February
"1992-03-01",1992,3,Kluane National Park,284,418,-32.1,645,627,2.9,January - March
"1992-04-01",1992,4,Kluane National Park,539,385,40.0,1184,1012,17.0,January - April
"1992-05-01",1992,5,Kluane National Park,5032,3692,36.3,6216,4704,32.1,January - May
"1992-06-01",1992,6,Kluane National Park,18252,15166,20.3,24468,19870,23.1,January - June
"1992-07-01",1992,7,Kluane National Park,27596,23187,19.0,52064,43057,20.9,January - July
"1992-08-01",1992,8,Kluane National Park,24472,18577,31.7,76536,61634,24.2,January - August
"1992-09-01",1992,9,Kluane National Park,7572,5651,34.0,84108,67285,25.0,January - September
"1992-10-01",1992,10,Kluane National Park,418,73,472.6,84526,67358,25.5,January - October
"1992-11-01",1992,11,Kluane National Park,70,22,218.2,84596,67380,25.6,January - November
"1992-12-01",1992,12,Kluane National Park,104,32,225.0,84700,67412,25.6,January - December
"1992-01-01",1992,1,SS Klondike,0,0,,0,0,,January - January
"1992-02-01",1992,2,SS Klondike,0,0,,0,0,,January - February
"1992-03-01",1992,3,SS Klondike,0,0,,0,0,,January - March
"1992-04-01",1992,4,SS Klondike,0,0,,0,0,,January - April
"1992-05-01",1992,5,SS Klondike,2824,2138,32.1,2824,2138,32.1,January - May
"1992-06-01",1992,6,SS Klondike,14005,11014,27.2,16829,13152,28.0,January - June
"1992-07-01",1992,7,SS Klondike,18103,16451,10.0,34932,29603,18.0,January - July
"1992-08-01",1992,8,SS Klondike,11594,10808,7.3,46526,40411,15.1,January - August
"1992-09-01",1992,9,SS Klondike,921,1287,-28.4,47447,41698,13.8,January - September
"1992-10-01",1992,10,SS Klondike,0,0,,47447,41698,13.8,January - October
"1992-11-01",1992,11,SS Klondike,0,0,,47447,41698,13.8,January - November
"1992-12-01",1992,12,SS Klondike,0,0,,47447,41698,13.8,January - December
"1993-01-01",1993,1,All,105,171,-38.6,105,171,-38.6,January - January
"1993-02-01",1993,2,All,206,190,8.4,311,361,-13.9,January - February
"1993-03-01",1993,3,All,274,284,-3.5,585,645,-9.3,January - March
"1993-04-01",1993,4,All,502,541,-7.2,1087,1186,-8.3,January - April
"1993-05-01",1993,5,All,7691,8301,-7.3,8778,9487,-7.5,January - May
"1993-06-01",1993,6,All,39722,46602,-14.8,48500,56089,-13.5,January - June
"1993-07-01",1993,7,All,61462,64116,-4.1,109962,120205,-8.5,January - July
"1993-08-01",1993,8,All,46367,50124,-7.5,156329,170329,-8.2,January - August
"1993-09-01",1993,9,All,11534,11062,4.3,167863,181391,-7.5,January - September
"1993-10-01",1993,10,All,301,418,-28.0,168164,181809,-7.5,January - October
"1993-11-01",1993,11,All,205,70,192.9,168369,181879,-7.4,January - November
"1993-12-01",1993,12,All,284,104,173.1,168653,181983,-7.3,January - December
"1993-01-01",1993,1,Chilkoot Trail,0,0,,0,0,,January - January
"1993-02-01",1993,2,Chilkoot Trail,0,0,,0,0,,January - February
"1993-03-01",1993,3,Chilkoot Trail,0,0,,0,0,,January - March
"1993-04-01",1993,4,Chilkoot Trail,0,0,,0,0,,January - April
"1993-05-01",1993,5,Chilkoot Trail,0,3,-100.0,0,3,-100.0,January - May
"1993-06-01",1993,6,Chilkoot Trail,460,391,17.6,460,394,16.8,January - June
"1993-07-01",1993,7,Chilkoot Trail,1184,1068,10.9,1644,1462,12.4,January - July
"1993-08-01",1993,8,Chilkoot Trail,1136,1071,6.1,2780,2533,9.8,January - August
"1993-09-01",1993,9,Chilkoot Trail,197,182,8.2,2977,2715,9.7,January - September
"1993-10-01",1993,10,Chilkoot Trail,0,0,,2977,2715,9.7,January - October
"1993-11-01",1993,11,Chilkoot Trail,0,0,,2977,2715,9.7,January - November
"1993-12-01",1993,12,Chilkoot Trail,0,0,,2977,2715,9.7,January - December
"1993-01-01",1993,1,Klondike National Historic Site,0,0,,0,0,,January - January
"1993-02-01",1993,2,Klondike National Historic Site,0,0,,0,0,,January - February
"1993-03-01",1993,3,Klondike National Historic Site,0,0,,0,0,,January - March
"1993-04-01",1993,4,Klondike National Historic Site,0,2,-100.0,0,2,-100.0,January - April
"1993-05-01",1993,5,Klondike National Historic Site,823,442,86.2,823,444,85.4,January - May
