date,year,month,location,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
2005-12-01,2005,12,Pleasant Camp,904,839,7.7,42680,42984,-0.7,38141,11.9,January - December
2005-01-01,2005,1,Whitehorse,48,86,-44.2,48,86,-44.2,31,54.8,January - January
2005-02-01,2005,2,Whitehorse,179,195,-8.2,227,281,-19.2,90,152.2,January - February
2005-03-01,2005,3,Whitehorse,154,139,10.8,381,420,-9.3,139,174.1,January - March
2005-04-01,2005,4,Whitehorse,282,240,17.5,663,660,0.5,198,234.8,January - April
2005-05-01,2005,5,Whitehorse,463,274,69.0,1126,934,20.6,282,299.3,January - May
2005-06-01,2005,6,Whitehorse,1243,1299,-4.3,2369,2233,6.1,1552,52.6,January - June
2005-07-01,2005,7,Whitehorse,1691,1981,-14.6,4060,4214,-3.7,2753,47.5,January - July
2005-08-01,2005,8,Whitehorse,1651,1722,-4.1,5711,5936,-3.8,3932,45.2,January - August
2005-09-01,2005,9,Whitehorse,919,1007,-8.7,6630,6943,-4.5,4697,41.2,January - September
2005-10-01,2005,10,Whitehorse,94,106,-11.3,6724,7049,-4.6,4750,41.6,January - October
2005-11-01,2005,11,Whitehorse,51,78,-34.6,6775,7127,-4.9,4761,42.3,January - November
2005-12-01,2005,12,Whitehorse,54,52,3.8,6829,7179,-4.9,4812,41.9,January - December
2005-01-01,2005,1,Yukon,3487,3543,-1.6,3487,3543,-1.6,3897,-10.5,January - January
2005-02-01,2005,2,Yukon,4158,4387,-5.2,7645,7930,-3.6,7490,2.1,January - February
2005-03-01,2005,3,Yukon,7799,6452,20.9,15444,14382,7.4,14237,8.5,January - March
2005-04-01,2005,4,Yukon,8707,10549,-17.5,24151,24931,-3.1,24422,-1.1,January - April
2005-05-01,2005,5,Yukon,35690,30826,15.8,59841,55757,7.3,83567,-28.4,January - May
2005-06-01,2005,6,Yukon,77192,77285,-0.1,137033,133042,3.0,185818,-26.3,January - June
2005-07-01,2005,7,Yukon,100397,96195,4.4,237430,229237,3.6,306133,-22.4,January - July
2005-08-01,2005,8,Yukon,93453,89888,4.0,330883,319125,3.7,419587,-21.1,January - August
2005-09-01,2005,9,Yukon,47660,44245,7.7,378543,363370,4.2,484785,-21.9,January - September
2005-10-01,2005,10,Yukon,9275,10906,-15.0,387818,374276,3.6,496485,-21.9,January - October
2005-11-01,2005,11,Yukon,3756,4949,-24.1,391574,379225,3.3,500857,-21.8,January - November
2005-12-01,2005,12,Yukon,3846,3494,10.1,395420,382719,3.3,505027,-21.7,January - December
2006-01-01,2006,1,Beaver Creek,1349,1373,-1.7,1349,1373,-1.7,1625,-17.0,January - January
2006-02-01,2006,2,Beaver Creek,1301,1562,-16.7,2650,2935,-9.7,3005,-11.8,January - February
2006-03-01,2006,3,Beaver Creek,2513,2441,2.9,5163,5376,-4.0,5391,-4.2,January - March
2006-04-01,2006,4,Beaver Creek,2735,3115,-12.2,7898,8491,-7.0,8868,-10.9,January - April
2006-05-01,2006,5,Beaver Creek,6124,5938,3.1,14022,14429,-2.8,15410,-9.0,January - May
2006-06-01,2006,6,Beaver Creek,14098,14650,-3.8,28120,29079,-3.3,27597,1.9,January - June
2006-07-01,2006,7,Beaver Creek,22503,25086,-10.3,50623,54165,-6.5,43623,16.0,January - July
2006-08-01,2006,8,Beaver Creek,20537,22295,-7.9,71160,76460,-6.9,59387,19.8,January - August
2006-09-01,2006,9,Beaver Creek,10816,11073,-2.3,81976,87533,-6.3,71200,15.1,January - September
2006-10-01,2006,10,Beaver Creek,5404,4328,24.9,87380,91861,-4.9,76066,14.9,January - October
2006-11-01,2006,11,Beaver Creek,2370,1902,24.6,89750,93763,-4.3,78102,14.9,January - November
2006-12-01,2006,12,Beaver Creek,1876,1675,12.0,91626,95438,-4.0,79644,15.0,January - December
2006-01-01,2006,1,Dawson,0,58,-100.0,0,58,-100.0,0,,January - January
2006-02-01,2006,2,Dawson,131,135,-3.0,131,193,-32.1,11,1090.9,January - February
2006-03-01,2006,3,Dawson,97,117,-17.1,228,310,-26.5,13,1653.8,January - March
2006-04-01,2006,4,Dawson,78,32,143.8,306,342,-10.5,21,1357.1,January - April
2006-05-01,2006,5,Dawson,616,491,25.5,922,833,10.7,383,140.7,January - May
2006-06-01,2006,6,Dawson,2526,2272,11.2,3448,3105,11.0,2355,46.4,January - June
2006-07-01,2006,7,Dawson,2321,2124,9.3,5769,5229,10.3,4575,26.1,January - July
2006-08-01,2006,8,Dawson,2458,2117,16.1,8227,7346,12.0,6723,22.4,January - August
2006-09-01,2006,9,Dawson,328,552,-40.6,8555,7898,8.3,6725,27.2,January - September
2006-10-01,2006,10,Dawson,1,6,-83.3,8556,7904,8.2,6726,27.2,January - October
2006-11-01,2006,11,Dawson,0,5,-100.0,8556,7909,8.2,6726,27.2,January - November
2006-12-01,2006,12,Dawson,0,0,,8556,7909,8.2,6728,27.2,January - December
2006-01-01,2006,1,Fraser,1165,886,31.5,1165,886,31.5,1196,-2.6,January - January
2006-02-01,2006,2,Fraser,1377,1040,32.4,2542,1926,32.0,2629,-3.3,January - February
2006-03-01,2006,3,Fraser,2080,3013,-31.0,4622,4939,-6.4,5857,-21.1,January - March
2006-04-01,2006,4,Fraser,2743,3080,-10.9,7365,8019,-8.2,10951,-32.7,January - April
2006-05-01,2006,5,Fraser,28465,24565,15.9,35830,32584,10.0,58650,-38.9,January - May
2006-06-01,2006,6,Fraser,55288,48814,13.3,91118,81398,11.9,136560,-33.3,January - June
2006-07-01,2006,7,Fraser,56803,57263,-0.8,147921,138661,6.7,225287,-34.3,January - July
2006-08-01,2006,8,Fraser,61229,55417,10.5,209150,194078,7.8,308458,-32.2,January - August
2006-09-01,2006,9,Fraser,31236,29525,5.8,240386,223603,7.5,355275,-32.3,January - September
2006-10-01,2006,10,Fraser,1952,2010,-2.9,242338,225613,7.4,359395,-32.6,January - October
2006-11-01,2006,11,Fraser,694,921,-24.6,243032,226534,7.3,360687,-32.6,January - November
2006-12-01,2006,12,Fraser,698,1213,-42.5,243730,227747,7.0,362508,-32.8,January - December
2006-01-01,2006,1,Little Gold Creek,0,0,,0,0,,0,,January - January
2006-02-01,2006,2,Little Gold Creek,153,0,,153,0,,0,,January - February
2006-03-01,2006,3,Little Gold Creek,0,0,,153,0,,0,,January - March
2006-04-01,2006,4,Little Gold Creek,0,0,,153,0,,0,,January - April
2006-05-01,2006,5,Little Gold Creek,556,590,-5.8,709,590,20.2,557,27.3,January - May
2006-06-01,2006,6,Little Gold Creek,2908,2798,3.9,3617,3388,6.8,3326,8.7,January - June
2006-07-01,2006,7,Little Gold Creek,4534,5001,-9.3,8151,8389,-2.8,7495,8.8,January - July
2006-08-01,2006,8,Little Gold Creek,4741,4473,6.0,12892,12862,0.2,11483,12.3,January - August
2006-09-01,2006,9,Little Gold Creek,1285,1849,-30.5,14177,14711,-3.6,13193,7.5,January - September
2006-10-01,2006,10,Little Gold Creek,64,72,-11.1,14241,14783,-3.7,13193,7.9,January - October
2006-11-01,2006,11,Little Gold Creek,0,0,,14241,14783,-3.7,13193,7.9,January - November
2006-12-01,2006,12,Little Gold Creek,0,0,,14241,14783,-3.7,13193,7.9,January - December
2006-01-01,2006,1,Old Crow,0,0,,0,0,,0,,January - January
2006-02-01,2006,2,Old Crow,0,0,,0,0,,0,,January - February
2006-03-01,2006,3,Old Crow,8,0,,8,0,,0,,January - March
2006-04-01,2006,4,Old Crow,2,8,-75.0,10,8,25.0,0,,January - April
2006-05-01,2006,5,Old Crow,16,0,,26,8,225.0,0,,January - May
2006-06-01,2006,6,Old Crow,0,6,-100.0,26,14,85.7,1,2500.0,January - June
2006-07-01,2006,7,Old Crow,14,5,180.0,40,19,110.5,1,3900.0,January - July
2006-08-01,2006,8,Old Crow,0,0,,40,19,110.5,1,3900.0,January - August
2006-09-01,2006,9,Old Crow,0,0,,40,19,110.5,1,3900.0,January - September
2006-10-01,2006,10,Old Crow,4,13,-69.2,44,32,37.5,1,4300.0,January - October
2006-11-01,2006,11,Old Crow,2,2,0.0,46,34,35.3,1,4500.0,January - November
2006-12-01,2006,12,Old Crow,0,0,,46,34,35.3,1,4500.0,January - December
2006-01-01,2006,1,Pleasant Camp,1040,1122,-7.3,1040,1122,-7.3,1045,-0.5,January - January
2006-02-01,2006,2,Pleasant Camp,749,1242,-39.7,1789,2364,-24.3,1755,1.9,January - February
2006-03-01,2006,3,Pleasant Camp,1136,2074,-45.2,2925,4438,-34.1,2837,3.1,January - March
2006-04-01,2006,4,Pleasant Camp,2137,2190,-2.4,5062,6628,-23.6,4384,15.5,January - April
2006-05-01,2006,5,Pleasant Camp,3546,3643,-2.7,8608,10271,-16.2,8285,3.9,January - May
2006-06-01,2006,6,Pleasant Camp,7338,7409,-1.0,15946,17680,-9.8,14427,10.5,January - June
2006-07-01,2006,7,Pleasant Camp,8003,9227,-13.3,23949,26907,-11.0,22399,6.9,January - July
2006-08-01,2006,8,Pleasant Camp,6478,7500,-13.6,30427,34407,-11.6,29603,2.8,January - August
2006-09-01,2006,9,Pleasant Camp,3184,3742,-14.9,33611,38149,-11.9,33694,-0.2,January - September
2006-10-01,2006,10,Pleasant Camp,2728,2752,-0.9,36339,40901,-11.2,36354,-0.0,January - October
2006-11-01,2006,11,Pleasant Camp,1025,875,17.1,37364,41776,-10.6,37387,-0.1,January - November
2006-12-01,2006,12,Pleasant Camp,794,904,-12.2,38158,42680,-10.6,38141,0.0,January - December
2006-01-01,2006,1,Whitehorse,21,48,-56.3,21,48,-56.3,31,-32.3,January - January
2006-02-01,2006,2,Whitehorse,129,179,-27.9,150,227,-33.9,90,66.7,January - February
2006-03-01,2006,3,Whitehorse,775,154,403.2,925,381,142.8,139,565.5,January - March
2006-04-01,2006,4,Whitehorse,207,282,-26.6,1132,663,70.7,198,471.7,January - April
2006-05-01,2006,5,Whitehorse,484,463,4.5,1616,1126,43.5,282,473.0,January - May
2006-06-01,2006,6,Whitehorse,1220,1243,-1.9,2836,2369,19.7,1552,82.7,January - June
2006-07-01,2006,7,Whitehorse,1468,1691,-13.2,4304,4060,6.0,2753,56.3,January - July
2006-08-01,2006,8,Whitehorse,1840,1651,11.4,6144,5711,7.6,3932,56.3,January - August
2006-09-01,2006,9,Whitehorse,781,919,-15.0,6925,6630,4.4,4697,47.4,January - September
2006-10-01,2006,10,Whitehorse,88,94,-6.4,7013,6724,4.3,4750,47.6,January - October
2006-11-01,2006,11,Whitehorse,25,51,-51.0,7038,6775,3.9,4761,47.8,January - November
2006-12-01,2006,12,Whitehorse,57,54,5.6,7095,6829,3.9,4812,47.4,January - December
2006-01-01,2006,1,Yukon,3575,3487,2.5,3575,3487,2.5,3897,-8.3,January - January
2006-02-01,2006,2,Yukon,3840,4158,-7.6,7415,7645,-3.0,7490,-1.0,January - February
2006-03-01,2006,3,Yukon,6609,7799,-15.3,14024,15444,-9.2,14237,-1.5,January - March
2006-04-01,2006,4,Yukon,7902,8707,-9.2,21926,24151,-9.2,24422,-10.2,January - April
2006-05-01,2006,5,Yukon,39807,35690,11.5,61733,59841,3.2,83567,-26.1,January - May
2006-06-01,2006,6,Yukon,83378,77192,8.0,145111,137033,5.9,185818,-21.9,January - June
2006-07-01,2006,7,Yukon,95646,100397,-4.7,240757,237430,1.4,306133,-21.4,January - July
2006-08-01,2006,8,Yukon,97283,93453,4.1,338040,330883,2.2,419587,-19.4,January - August
2006-09-01,2006,9,Yukon,47630,47660,-0.1,385670,378543,1.9,484785,-20.4,January - September
2006-10-01,2006,10,Yukon,10241,9275,10.4,395911,387818,2.1,496485,-20.3,January - October
2006-11-01,2006,11,Yukon,4116,3756,9.6,400027,391574,2.2,500857,-20.1,January - November
2006-12-01,2006,12,Yukon,3425,3846,-10.9,403452,395420,2.0,505027,-20.1,January - December
2007-01-01,2007,1,Beaver Creek,1385,1349,2.7,1385,1349,2.7,1625,-14.8,January - January
2007-02-01,2007,2,Beaver Creek,1618,1301,24.4,3003,2650,13.3,3005,-0.1,January - February
2007-03-01,2007,3,Beaver Creek,2953,2513,17.5,5956,5163,15.4,5391,10.5,January - March
2007-04-01,2007,4,Beaver Creek,3142,2735,14.9,9098,7898,15.2,8868,2.6,January - April
2007-05-01,2007,5,Beaver Creek,5944,6124,-2.9,15042,14022,7.3,15410,-2.4,January - May
2007-06-01,2007,6,Beaver Creek,14986,14098,6.3,30028,28120,6.8,27597,8.8,January - June
2007-07-01,2007,7,Beaver Creek,22629,22503,0.6,52657,50623,4.0,43623,20.7,January - July
2007-08-01,2007,8,Beaver Creek,20174,20537,-1.8,72831,71160,2.3,59387,22.6,January - August
2007-09-01,2007,9,Beaver Creek,11763,10816,8.8,84594,81976,3.2,71200,18.8,January - September
2007-10-01,2007,10,Beaver Creek,4522,5404,-16.3,89116,87380,2.0,76066,17.2,January - October
2007-11-01,2007,11,Beaver Creek,2036,2370,-14.1,91152,89750,1.6,78102,16.7,January - November
2007-12-01,2007,12,Beaver Creek,1807,1876,-3.7,92959,91626,1.5,79644,16.7,January - December
2007-01-01,2007,1,Dawson,0,0,,0,0,,0,,January - January
2007-02-01,2007,2,Dawson,9,131,-93.1,9,131,-93.1,11,-18.2,January - February
2007-03-01,2007,3,Dawson,3,97,-96.9,12,228,-94.7,13,-7.7,January - March
2007-04-01,2007,4,Dawson,6,78,-92.3,18,306,-94.1,21,-14.3,January - April
2007-05-01,2007,5,Dawson,591,616,-4.1,609,922,-33.9,383,59.0,January - May
2007-06-01,2007,6,Dawson,2624,2526,3.9,3233,3448,-6.2,2355,37.3,January - June
2007-07-01,2007,7,Dawson,2614,2321,12.6,5847,5769,1.4,4575,27.8,January - July
2007-08-01,2007,8,Dawson,2705,2458,10.0,8552,8227,4.0,6723,27.2,January - August
2007-09-01,2007,9,Dawson,235,328,-28.4,8787,8555,2.7,6725,30.7,January - September
2007-10-01,2007,10,Dawson,2,1,100.0,8789,8556,2.7,6726,30.7,January - October
2007-11-01,2007,11,Dawson,4,0,,8793,8556,2.8,6726,30.7,January - November
2007-12-01,2007,12,Dawson,0,0,,8793,8556,2.8,6728,30.7,January - December
2007-01-01,2007,1,Fraser,825,1165,-29.2,825,1165,-29.2,1196,-31.0,January - January
2007-02-01,2007,2,Fraser,989,1377,-28.2,1814,2542,-28.6,2629,-31.0,January - February
2007-03-01,2007,3,Fraser,1613,2080,-22.5,3427,4622,-25.9,5857,-41.5,January - March
2007-04-01,2007,4,Fraser,2953,2743,7.7,6380,7365,-13.4,10951,-41.7,January - April
2007-05-01,2007,5,Fraser,34747,28465,22.1,41127,35830,14.8,58650,-29.9,January - May
2007-06-01,2007,6,Fraser,52105,55288,-5.8,93232,91118,2.3,136560,-31.7,January - June
2007-07-01,2007,7,Fraser,66845,56803,17.7,160077,147921,8.2,225287,-28.9,January - July
2007-08-01,2007,8,Fraser,63609,61229,3.9,223686,209150,7.0,308458,-27.5,January - August
2007-09-01,2007,9,Fraser,35224,31236,12.8,258910,240386,7.7,355275,-27.1,January - September
2007-10-01,2007,10,Fraser,1659,1952,-15.0,260569,242338,7.5,359395,-27.5,January - October
2007-11-01,2007,11,Fraser,940,694,35.4,261509,243032,7.6,360687,-27.5,January - November
2007-12-01,2007,12,Fraser,986,698,41.3,262495,243730,7.7,362508,-27.6,January - December
2007-01-01,2007,1,Little Gold Creek,0,0,,0,0,,0,,January - January
2007-02-01,2007,2,Little Gold Creek,0,153,-100.0,0,153,-100.0,0,,January - February
2007-03-01,2007,3,Little Gold Creek,0,0,,0,153,-100.0,0,,January - March
2007-04-01,2007,4,Little Gold Creek,0,0,,0,153,-100.0,0,,January - April
2007-05-01,2007,5,Little Gold Creek,638,556,14.7,638,709,-10.0,557,14.5,January - May
1982-06-01,1982,6,Pleasant Camp,5461,5322,2.6,14914,13857,7.6,14427,3.4,January - June
1982-07-01,1982,7,Pleasant Camp,6714,6879,-2.4,21628,20736,4.3,22399,-3.4,January - July
1982-08-01,1982,8,Pleasant Camp,7099,7674,-7.5,28727,28410,1.1,29603,-3.0,January - August
1982-09-01,1982,9,Pleasant Camp,2890,3168,-8.8,31617,31578,0.1,33694,-6.2,January - September
1982-10-01,1982,10,Pleasant Camp,1856,1925,-3.6,33473,33503,-0.1,36354,-7.9,January - October
1982-11-01,1982,11,Pleasant Camp,1216,1150,5.7,34689,34653,0.1,37387,-7.2,January - November
1982-12-01,1982,12,Pleasant Camp,716,822,-12.9,35405,35475,-0.2,38141,-7.2,January - December
1982-01-01,1982,1,Whitehorse,42,122,-65.6,42,122,-65.6,31,35.5,January - January
1982-02-01,1982,2,Whitehorse,169,165,2.4,211,287,-26.5,90,134.4,January - February
1982-03-01,1982,3,Whitehorse,811,295,174.9,1022,582,75.6,139,635.3,January - March
1982-04-01,1982,4,Whitehorse,248,337,-26.4,1270,919,38.2,198,541.4,January - April
1982-05-01,1982,5,Whitehorse,297,302,-1.7,1567,1221,28.3,282,455.7,January - May
1982-06-01,1982,6,Whitehorse,936,1441,-35.0,2503,2662,-6.0,1552,61.3,January - June
1982-07-01,1982,7,Whitehorse,2265,1531,47.9,4768,4193,13.7,2753,73.2,January - July
1982-08-01,1982,8,Whitehorse,1719,2667,-35.5,6487,6860,-5.4,3932,65.0,January - August
1982-09-01,1982,9,Whitehorse,799,1289,-38.0,7286,8149,-10.6,4697,55.1,January - September
1982-10-01,1982,10,Whitehorse,339,286,18.5,7625,8435,-9.6,4750,60.5,January - October
1982-11-01,1982,11,Whitehorse,134,77,74.0,7759,8512,-8.8,4761,63.0,January - November
1982-12-01,1982,12,Whitehorse,184,277,-33.6,7943,8789,-9.6,4812,65.1,January - December
1982-01-01,1982,1,Yukon,2620,2245,16.7,2620,2245,16.7,3897,-32.8,January - January
1982-02-01,1982,2,Yukon,2213,2058,7.5,4833,4303,12.3,7490,-35.5,January - February
1982-03-01,1982,3,Yukon,4599,3539,30.0,9432,7842,20.3,14237,-33.8,January - March
1982-04-01,1982,4,Yukon,5623,4421,27.2,15055,12263,22.8,24422,-38.4,January - April
1982-05-01,1982,5,Yukon,14396,12410,16.0,29451,24673,19.4,83567,-64.8,January - May
1982-06-01,1982,6,Yukon,33880,36253,-6.5,63331,60926,3.9,185818,-65.9,January - June
1982-07-01,1982,7,Yukon,55320,55139,0.3,118651,116065,2.2,306133,-61.2,January - July
1982-08-01,1982,8,Yukon,49970,55970,-10.7,168621,172035,-2.0,419587,-59.8,January - August
1982-09-01,1982,9,Yukon,22618,22758,-0.6,191239,194793,-1.8,484785,-60.6,January - September
1982-10-01,1982,10,Yukon,8125,7872,3.2,199364,202665,-1.6,496485,-59.8,January - October
1982-11-01,1982,11,Yukon,3649,3589,1.7,203013,206254,-1.6,500857,-59.5,January - November
1982-12-01,1982,12,Yukon,3141,3266,-3.8,206154,209520,-1.6,505027,-59.2,January - December
1983-01-01,1983,1,Beaver Creek,1410,1275,10.6,1410,1275,10.6,1625,-13.2,January - January
1983-02-01,1983,2,Beaver Creek,1370,1127,21.6,2780,2402,15.7,3005,-7.5,January - February
1983-03-01,1983,3,Beaver Creek,2099,2007,4.6,4879,4409,10.7,5391,-9.5,January - March
1983-04-01,1983,4,Beaver Creek,3041,2509,21.2,7920,6918,14.5,8868,-10.7,January - April
1983-05-01,1983,5,Beaver Creek,5319,4992,6.6,13239,11910,11.2,15410,-14.1,January - May
1983-06-01,1983,6,Beaver Creek,15679,13436,16.7,28918,25346,14.1,27597,4.8,January - June
1983-07-01,1983,7,Beaver Creek,27124,22474,20.7,56042,47820,17.2,43623,28.5,January - July
1983-08-01,1983,8,Beaver Creek,23166,20618,12.4,79208,68438,15.7,59387,33.4,January - August
1983-09-01,1983,9,Beaver Creek,11720,10530,11.3,90928,78968,15.1,71200,27.7,January - September
1983-10-01,1983,10,Beaver Creek,4991,4693,6.3,95919,83661,14.7,76066,26.1,January - October
1983-11-01,1983,11,Beaver Creek,2805,2281,23.0,98724,85942,14.9,78102,26.4,January - November
1983-12-01,1983,12,Beaver Creek,2847,2229,27.7,101571,88171,15.2,79644,27.5,January - December
1983-01-01,1983,1,Dawson,0,0,,0,0,,0,,January - January
1983-02-01,1983,2,Dawson,0,12,-100.0,0,12,-100.0,11,-100.0,January - February
1983-03-01,1983,3,Dawson,48,44,9.1,48,56,-14.3,13,269.2,January - March
1983-04-01,1983,4,Dawson,26,12,116.7,74,68,8.8,21,252.4,January - April
1983-05-01,1983,5,Dawson,26,31,-16.1,100,99,1.0,383,-73.9,January - May
1983-06-01,1983,6,Dawson,38,33,15.2,138,132,4.5,2355,-94.1,January - June
1983-07-01,1983,7,Dawson,229,181,26.5,367,313,17.3,4575,-92.0,January - July
1983-08-01,1983,8,Dawson,0,159,-100.0,367,472,-22.2,6723,-94.5,January - August
1983-09-01,1983,9,Dawson,51,83,-38.6,418,555,-24.7,6725,-93.8,January - September
1983-10-01,1983,10,Dawson,15,15,0.0,433,570,-24.0,6726,-93.6,January - October
1983-11-01,1983,11,Dawson,30,6,400.0,463,576,-19.6,6726,-93.1,January - November
1983-12-01,1983,12,Dawson,6,2,200.0,469,578,-18.9,6728,-93.0,January - December
1983-01-01,1983,1,Fraser,0,55,-100.0,0,55,-100.0,1196,-100.0,January - January
1983-02-01,1983,2,Fraser,0,73,-100.0,0,128,-100.0,2629,-100.0,January - February
1983-03-01,1983,3,Fraser,0,84,-100.0,0,212,-100.0,5857,-100.0,January - March
1983-04-01,1983,4,Fraser,293,296,-1.0,293,508,-42.3,10951,-97.3,January - April
1983-05-01,1983,5,Fraser,4865,5735,-15.2,5158,6243,-17.4,58650,-91.2,January - May
1983-06-01,1983,6,Fraser,9968,11718,-14.9,15126,17961,-15.8,136560,-88.9,January - June
1983-07-01,1983,7,Fraser,28530,18429,54.8,43656,36390,20.0,225287,-80.6,January - July
1983-08-01,1983,8,Fraser,16631,16082,3.4,60287,52472,14.9,308458,-80.5,January - August
1983-09-01,1983,9,Fraser,8534,7326,16.5,68821,59798,15.1,355275,-80.6,January - September
1983-10-01,1983,10,Fraser,898,1219,-26.3,69719,61017,14.3,359395,-80.6,January - October
1995-04-01,1995,4,Little Gold Creek,0,0,,0,0,,0,,January - April
1995-05-01,1995,5,Little Gold Creek,732,745,-1.7,732,745,-1.7,557,31.4,January - May
1995-06-01,1995,6,Little Gold Creek,5112,5202,-1.7,5844,5947,-1.7,3326,75.7,January - June
1995-07-01,1995,7,Little Gold Creek,9533,10541,-9.6,15377,16488,-6.7,7495,105.2,January - July
1995-08-01,1995,8,Little Gold Creek,7092,7602,-6.7,22469,24090,-6.7,11483,95.7,January - August
1995-09-01,1995,9,Little Gold Creek,1814,1877,-3.4,24283,25967,-6.5,13193,84.1,January - September
1995-10-01,1995,10,Little Gold Creek,99,8,1137.5,24382,25975,-6.1,13193,84.8,January - October
1995-11-01,1995,11,Little Gold Creek,0,0,,24382,25975,-6.1,13193,84.8,January - November
1995-12-01,1995,12,Little Gold Creek,0,0,,24382,25975,-6.1,13193,84.8,January - December
1995-01-01,1995,1,Old Crow,4,2,100.0,4,2,100.0,0,,January - January
1995-02-01,1995,2,Old Crow,1,6,-83.3,5,8,-37.5,0,,January - February
1995-03-01,1995,3,Old Crow,9,2,350.0,14,10,40.0,0,,January - March
1995-04-01,1995,4,Old Crow,6,0,,20,10,100.0,0,,January - April
1995-05-01,1995,5,Old Crow,13,2,550.0,33,12,175.0,0,,January - May
1995-06-01,1995,6,Old Crow,21,32,-34.4,54,44,22.7,1,5300.0,January - June
1995-07-01,1995,7,Old Crow,39,170,-77.1,93,214,-56.5,1,9200.0,January - July
1995-08-01,1995,8,Old Crow,25,68,-63.2,118,282,-58.2,1,11700.0,January - August
1995-09-01,1995,9,Old Crow,81,15,440.0,199,297,-33.0,1,19800.0,January - September
1995-10-01,1995,10,Old Crow,14,4,250.0,213,301,-29.2,1,21200.0,January - October
1995-11-01,1995,11,Old Crow,10,19,-47.4,223,320,-30.3,1,22200.0,January - November
1995-12-01,1995,12,Old Crow,4,0,,227,320,-29.1,1,22600.0,January - December
1995-01-01,1995,1,Pleasant Camp,1362,1479,-7.9,1362,1479,-7.9,1045,30.3,January - January
1995-02-01,1995,2,Pleasant Camp,914,1029,-11.2,2276,2508,-9.3,1755,29.7,January - February
1995-03-01,1995,3,Pleasant Camp,1170,1243,-5.9,3446,3751,-8.1,2837,21.5,January - March
1995-04-01,1995,4,Pleasant Camp,2364,2150,10.0,5810,5901,-1.5,4384,32.5,January - April
1995-05-01,1995,5,Pleasant Camp,3889,3631,7.1,9699,9532,1.8,8285,17.1,January - May
1995-06-01,1995,6,Pleasant Camp,8093,7562,7.0,17792,17094,4.1,14427,23.3,January - June
1995-07-01,1995,7,Pleasant Camp,10423,10687,-2.5,28215,27781,1.6,22399,26.0,January - July
1995-08-01,1995,8,Pleasant Camp,9064,9633,-5.9,37279,37414,-0.4,29603,25.9,January - August
1995-09-01,1995,9,Pleasant Camp,3953,4067,-2.8,41232,41481,-0.6,33694,22.4,January - September
1995-10-01,1995,10,Pleasant Camp,2419,2533,-4.5,43651,44014,-0.8,36354,20.1,January - October
1995-11-01,1995,11,Pleasant Camp,1401,1333,5.1,45052,45347,-0.7,37387,20.5,January - November
1995-12-01,1995,12,Pleasant Camp,1183,1001,18.2,46235,46348,-0.2,38141,21.2,January - December
1995-01-01,1995,1,Whitehorse,110,58,89.7,110,58,89.7,31,254.8,January - January
1995-02-01,1995,2,Whitehorse,140,216,-35.2,250,274,-8.8,90,177.8,January - February
1995-03-01,1995,3,Whitehorse,196,176,11.4,446,450,-0.9,139,220.9,January - March
1995-04-01,1995,4,Whitehorse,274,162,69.1,720,612,17.6,198,263.6,January - April
1995-05-01,1995,5,Whitehorse,220,276,-20.3,940,888,5.9,282,233.3,January - May
1995-06-01,1995,6,Whitehorse,447,410,9.0,1387,1298,6.9,1552,-10.6,January - June
1995-07-01,1995,7,Whitehorse,915,916,-0.1,2302,2214,4.0,2753,-16.4,January - July
1995-08-01,1995,8,Whitehorse,653,624,4.6,2955,2838,4.1,3932,-24.8,January - August
1995-09-01,1995,9,Whitehorse,513,526,-2.5,3468,3364,3.1,4697,-26.2,January - September
1995-10-01,1995,10,Whitehorse,150,184,-18.5,3618,3548,2.0,4750,-23.8,January - October
1995-11-01,1995,11,Whitehorse,129,148,-12.8,3747,3696,1.4,4761,-21.3,January - November
1995-12-01,1995,12,Whitehorse,49,103,-52.4,3796,3799,-0.1,4812,-21.1,January - December
1995-01-01,1995,1,Yukon,4899,4292,14.1,4899,4292,14.1,3897,25.7,January - January
1995-02-01,1995,2,Yukon,4183,4175,0.2,9082,8467,7.3,7490,21.3,January - February
1995-03-01,1995,3,Yukon,6512,5094,27.8,15594,13561,15.0,14237,9.5,January - March
1995-04-01,1995,4,Yukon,10149,9117,11.3,25743,22678,13.5,24422,5.4,January - April
1995-05-01,1995,5,Yukon,23528,21070,11.7,49271,43748,12.6,83567,-41.0,January - May
1995-06-01,1995,6,Yukon,57191,55632,2.8,106462,99380,7.1,185818,-42.7,January - June
1995-07-01,1995,7,Yukon,87101,86188,1.1,193563,185568,4.3,306133,-36.8,January - July
1995-08-01,1995,8,Yukon,74105,74507,-0.5,267668,260075,2.9,419587,-36.2,January - August
1995-09-01,1995,9,Yukon,34950,33558,4.1,302618,293633,3.1,484785,-37.6,January - September
1995-10-01,1995,10,Yukon,11552,9806,17.8,314170,303439,3.5,496485,-36.7,January - October
1995-11-01,1995,11,Yukon,6562,5601,17.2,320732,309040,3.8,500857,-36.0,January - November
1995-12-01,1995,12,Yukon,4858,4972,-2.3,325590,314012,3.7,505027,-35.5,January - December
1996-01-01,1996,1,Beaver Creek,1830,1740,5.2,1830,1740,5.2,1625,12.6,January - January
